DATE,MATCH UP,MIN,PTS,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PLAYER,IMPACT
"Jan 12, 2026",@,14.1,8,3-8,1-4,1-1,6,1,5,5,1,0,3,1,Tiffany Hayes,11.5
"Jan 10, 2026",@,5.3,3,1-3,1-3,0-0,2,1,1,4,0,1,0,1,Tiffany Hayes,5.5
"Jan 05, 2026",@,16.4,20,8-14,2-5,1-1,3,1,2,2,2,2,1,4,Tiffany Hayes,22.5
"Jan 12, 2026",@,12.9,6,3-10,0-4,0-0,2,0,2,0,2,0,1,1,Veronica Burton,7.0
"Jan 10, 2026",@,16.1,11,4-8,0-2,2-2,7,2,5,3,2,1,0,3,Veronica Burton,19.0
"Jan 05, 2026",@,13.9,14,4-10,1-2,3-3,8,2,6,6,3,2,3,2,Veronica Burton,20.0
"Jan 11, 2026",@,11.3,12,4-6,2-3,1-1,6,1,5,2,0,1,1,5,Cameron Brink,17.5
"Jan 09, 2026",@,9.5,14,5-8,0-2,2-2,5,1,4,1,1,0,2,3,Cameron Brink,17.5
"Jan 05, 2026",@,7.0,4,2-5,0-0,0-0,6,2,4,0,0,2,2,5,Cameron Brink,9.0
"Jan 12, 2026",@,14.2,10,5-6,0-0,0-1,7,2,5,3,2,1,0,0,Alyssa Thomas,18.0
"Jan 10, 2026",@,19.9,14,7-13,0-0,0-0,9,0,9,9,0,0,1,3,Alyssa Thomas,22.0
"Jan 05, 2026",@,9.8,6,3-6,0-0,0-0,8,1,7,3,0,1,1,2,Alyssa Thomas,13.5
"Jan 11, 2026",@,7.9,14,5-7,2-2,1-1,2,0,2,3,0,0,0,1,Rae Burrell,16.0
"Jan 09, 2026",@,13.0,13,5-12,1-2,1-2,8,3,5,3,2,0,1,3,Rae Burrell,21.5
"Jan 05, 2026",@,9.0,2,1-2,0-1,0-0,3,2,1,1,1,1,1,1,Rae Burrell,5.0
"Jan 11, 2026",@,11.7,12,6-9,0-1,0-0,8,1,7,1,0,0,0,4,Ezi Magbegor,20.5
"Jan 09, 2026",@,8.9,10,4-10,0-1,1-1,6,1,5,1,0,0,1,4,Ezi Magbegor,15.5
"Jan 05, 2026",@,12.3,6,3-9,0-2,0-0,8,1,7,3,1,4,2,3,Ezi Magbegor,12.5
"Jan 11, 2026",@,15.1,12,5-8,2-3,0-0,8,0,8,7,0,0,3,1,Courtney Williams,17.0
"Jan 09, 2026",@,10.8,4,2-7,0-0,0-1,5,1,4,6,0,0,1,2,Courtney Williams,8.5
"Jan 05, 2026",@,11.3,8,4-9,0-1,0-0,5,0,5,3,0,1,2,6,Courtney Williams,11.0
"Jan 11, 2026",@,16.3,7,3-8,1-6,0-0,5,2,3,4,4,0,0,0,Lexie Hull,13.0
"Jan 09, 2026",@,11.8,9,2-7,1-4,2-2,6,2,4,1,1,1,1,2,Lexie Hull,15.0
"Jan 05, 2026",@,12.6,7,3-8,1-5,0-0,4,2,2,0,2,0,1,4,Lexie Hull,11.0
"Jan 12, 2026",@,9.4,10,3-12,1-7,2-2,7,0,7,2,1,0,0,2,Jordin Canada,17.0
"Jan 10, 2026",@,8.2,4,2-6,0-2,0-0,5,1,4,4,0,0,0,5,Jordin Canada,9.5
"Jan 05, 2026",@,10.3,8,3-10,2-4,0-0,2,0,2,2,2,0,2,1,Jordin Canada,8.0
"Jan 11, 2026",@,6.6,2,1-3,0-1,0-0,5,2,3,0,0,0,1,1,Kate Martin,7.0
"Jan 09, 2026",@,11.8,12,4-9,1-6,1-3,3,0,3,1,0,0,1,0,Kate Martin,14.0
"Jan 05, 2026",@,6.8,8,4-7,0-2,0-0,3,1,2,0,0,0,0,1,Kate Martin,11.5
"Jan 11, 2026",@,9.0,2,1-5,0-2,0-1,0,0,0,0,1,1,1,0,Saniya Rivers,1.0
"Jan 09, 2026",@,14.3,12,5-12,0-3,1-2,7,1,6,3,2,6,2,0,Saniya Rivers,17.5
"Jan 05, 2026",@,6.2,4,2-6,0-2,0-0,2,0,2,1,2,1,0,1,Saniya Rivers,6.0
"Jan 12, 2026",@,5.2,0,0-1,0-1,0-1,2,0,2,0,0,0,1,2,Alanna Smith,1.0
"Jan 10, 2026",@,10.3,8,4-6,0-1,0-2,5,1,4,0,0,1,0,3,Alanna Smith,13.5
"Jan 05, 2026",@,11.5,10,5-10,0-1,0-0,6,1,5,1,0,5,1,2,Alanna Smith,15.5
"Jan 11, 2026",@,9.4,3,1-5,1-3,0-0,3,1,2,3,0,0,0,2,Erica Wheeler,6.5
"Jan 09, 2026",@,8.3,3,1-6,1-3,0-0,1,0,1,1,0,0,0,0,Erica Wheeler,4.0
"Jan 05, 2026",@,11.8,12,4-10,2-6,1-2,5,1,4,2,3,0,2,1,Erica Wheeler,15.5
"Jan 11, 2026",@,10.1,0,0-3,0-1,0-0,1,0,1,5,0,0,0,2,Sug Sutton,1.0
"Jan 09, 2026",@,7.9,10,3-6,2-4,1-1,1,0,1,1,0,0,1,3,Sug Sutton,10.0
"Jan 05, 2026",@,12.8,7,3-12,1-7,0-0,0,0,0,4,5,0,0,2,Sug Sutton,7.0
"Jan 12, 2026",@,9.4,4,2-8,0-5,0-0,1,0,1,2,0,0,1,5,Naz Hillmon,4.0
"Jan 10, 2026",@,10.2,9,3-7,1-5,1-1,4,1,3,1,0,0,1,2,Naz Hillmon,12.5
"Jan 05, 2026",@,13.0,4,2-3,0-0,0-0,8,2,6,1,0,0,2,1,Naz Hillmon,11.0
"Jan 12, 2026",@,12.7,6,3-6,0-1,0-0,7,1,6,1,1,0,0,3,Li Yueru,13.5
"Jan 10, 2026",@,6.5,6,3-7,0-2,0-0,3,2,1,0,0,0,0,0,Li Yueru,10.0
"Jan 05, 2026",@,6.8,3,1-5,0-1,1-1,4,1,3,0,0,1,0,2,Li Yueru,7.5
"Jan 12, 2026",@,4.6,2,1-1,0-0,0-0,1,0,1,0,0,0,0,0,Temi Fagbenle,3.0
